episode,learning_rate_0.1,learning_rate_0.01,learning_rate_0.001
1,23800.913544189945,24683.913544189945,22291.913544189945
2,21092.913544189945,27537.913544189945,18726.913544189945
3,20326.913544189945,19433.913544189945,27525.913544189945
4,22681.913544189945,22630.913544189945,27798.913544189945
5,25568.913544189945,23628.913544189945,21112.913544189945
6,21500.913544189945,28158.913544189945,17784.913544189945
7,27871.913544189945,22197.913544189945,18017.913544189945
8,23878.913544189945,21458.913544189945,15531.913544189945
9,20976.913544189945,26861.913544189945,23879.913544189945
10,26851.913544189945,27815.913544189945,20295.913544189945
